Model,Dataset,Features,Accuracy,Precision,Recall,F1-Score,ROC-AUC,FPR,Detection Rate,Inference (s)
Baseline RF,Validation,77,0.9996890332388916,0.9991584262571008,0.9970606760445098,0.998108448928121,0.9999860858229523,7.529978727810095e-05,0.9970606760445098,0.32606077194213867
GA-Optimized RF,Validation,35,0.9990670997166747,0.9928825622775801,0.9958009657778711,0.9943396226415094,0.9997119759422632,0.000640048191863858,0.9958009657778711,0.4307687282562256
Baseline RF,Test,77,0.9998272436727995,0.9997896950578339,0.998110434600042,0.9989493591090566,0.9999943127044862,1.882459244757351e-05,0.998110434600042,0.3883781433105469
GA-Optimized RF,Test,35,0.9989634620367971,0.9910210899979118,0.9964308209111904,0.9937185929648241,0.9998376927276833,0.0008094574752456609,0.9964308209111904,0.5786569118499756
